name,s_Q,s_F2,s_F3,ss_3,ss_3:m,ss_3:r,ss_{1+w},ss_{1+w}:m,ss_{1+w}:r,s_F3 = ss_3,s_F3 = -ss_3:m,s_F3 = ss_3:r,s_F3 = ss_{1+w},s_F3 = -ss_{1+w}:m,s_F3 = ss_{1+w}:r
18nh_05566876,2,2,0,2,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
18nh_37144251,-2,-2,0,0,2,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
