Name,HOMFLY (vector)
9_18,{0; 2; {2; 5; 1; 1; 0; -1}; {2; 5; 2; 4; 1; -1}; {2; 4; 1; 2; 1}}
9_19,{0; 2; {-2; 1; 1; -1; 0; 1}; {-1; 2; -2; 0; 1; -1}; {0; 1; 1; 1}}
9_20,{0; 3; {1; 4; 2; -2; 2; -1}; {1; 4; 3; -5; 5; -1}; {1; 3; 1; -4; 2}; {2; 2; -1}}
9_21,{0; 2; {-4; -1; -1; 1; 0; 1}; {-3; 0; 2; 0; 0; 1}; {-2; -1; -1; -1}}
9_22,{0; 3; {-1; 2; 2; -4; 4; -1}; {-1; 2; 1; -6; 6; -2}; {0; 2; -2; 4; -1}; {1; 1; 1}}
9_23,{0; 2; {2; 4; 1; 2; -2}; {2; 5; 2; 4; 0; -1}; {2; 4; 1; 2; 1}}
9_24,{0; 3; {-1; 2; 1; -3; 5; -2}; {-1; 2; 2; -6; 6; -1}; {-1; 1; 1; -4; 2}; {0; 0; -1}}
9_25,{0; 2; {0; 4; 1; 1; -3; 3; -1}; {0; 3; 1; 0; -4; 3}; {1; 2; -1; -2}}
9_26,{0; 3; {-3; -1; 1; -3; 3}; {-3; 0; 1; -5; 6; -2}; {-2; 0; -2; 4; -1}; {-1; -1; 1}}
9_27,{0; 3; {-1; 2; 1; -2; 3; -1}; {-1; 2; 2; -6; 5; -1}; {-1; 1; 1; -4; 2}; {0; 0; -1}}
9_28,{0; 3; {0; 3; -1; 5; -4; 1}; {0; 3; -2; 7; -5; 1}; {0; 2; -1; 4; -2}; {1; 1; 1}}
9_29,{0; 3; {-2; 1; -2; 5; -3; 1}; {-2; 1; -2; 7; -5; 1}; {-2; 0; -1; 4; -2}; {-1; -1; 1}}
9_30,{0; 3; {-2; 1; -1; 4; -4; 2}; {-2; 1; -1; 5; -7; 2}; {-1; 1; 2; -4; 1}; {0; 0; -1}}
9_31,{0; 3; {0; 2; -1; 4; -2}; {0; 3; -2; 7; -4; 1}; {0; 2; -1; 4; -2}; {1; 1; 1}}
9_32,{0; 3; {-3; 0; 1; -2; 1; 1}; {-3; 0; 1; -4; 3; -1}; {-2; 0; -2; 3; -1}; {-1; -1; 1}}
9_33,{0; 3; {-2; -1; -1; 2}; {-2; 1; -1; 4; -3; 1}; {-1; 1; 2; -3; 1}; {0; 0; -1}}
9_34,{0; 3; {-1; 1; 1; -1; 1}; {-2; 1; -1; 3; -4; 1}; {-1; 1; 2; -3; 1}; {0; 0; -1}}
9_35,{0; 1; {3; 5; 3; -1; -1}; {1; 4; 1; 2; 3; 1}}
9_36,{0; 3; {-4; -1; -2; 4; -3; 2}; {-4; -1; -1; 6; -5; 3}; {-3; -1; 2; -4; 1}; {-2; -2; -1}}
9_37,{0; 2; {-2; 1; 1; 0; -2; 2}; {-1; 2; -2; -1; 1; -1}; {0; 1; 1; 1}}
9_38,{0; 2; {3; 4; 4; -3}; {2; 5; 1; 7; -1; -1}; {2; 4; 1; 3; 1}}
